"","state","county","county_code","year","population_20_64","yaca","perc_white","perc_hispanic","perc_female","crude_rate_20_64","unemp_rate","poverty_rate","median_income"
"1","AL","Autauga County, AL",1001,2009,31271,NA,80.429151610118,2.07860317866394,51.4822039589396,412.522784688689,8.9051095,11.2,53.081
"2","AL","Autauga County, AL",1001,2010,31875,NA,80.4454901960784,2.24,51.3819607843137,423.529411764706,8.8081091,11.9,53.049
"3","AL","Autauga County, AL",1001,2011,32538,NA,79.5685045177946,2.31114389329399,51.146351957711,482.512754318028,8.3459083,14.9,48.863
"4","AL","Autauga County, AL",1001,2012,32324,NA,79.1919316916223,2.36047518871427,51.2250959039723,405.271624798911,7.1034858,12.7,51.441
"5","AL","Autauga County, AL",1001,2013,32315,NA,78.7931301253288,2.49419774098716,51.4188457372737,526.071483831038,6.3142381,13.5,51.868
"6","AL","Autauga County, AL",1001,2014,32448,NA,78.5472140039448,2.51479289940828,51.2573964497041,480.769230769231,5.80755879714497,13.1,54.366
"7","AL","Autauga County, AL",1001,2015,32451,NA,77.8157837971095,2.59159964253798,51.2249237311639,477.643215925549,5.22689009827336,12.7,56.58
"8","AL","Autauga County, AL",1001,2016,32464,NA,77.7353376047314,2.56283883686545,51.0657959586003,462.050271069492,5.11474134577985,13.5,54.487
"9","AL","Autauga County, AL",1001,2017,32537,NA,77.1214309862618,2.75686141930725,51.181731567139,442.57307065802,3.978073,13.4,58.343
"10","AL","Autauga County, AL",1001,2018,32524,NA,77.1092116590825,2.8379043168122,51.3866683064814,405.854138482351,3.6114994,13.8,59.338
"11","AL","Autauga County, AL",1001,2019,32693,NA,76.7381396629248,2.8935857828893,51.5247912397149,379.28608570642,2.8819847843196,12.1,58.233
"12","AL","Baldwin County, AL",1003,2009,103603,NA,88.6161597637134,4.16204163972086,51.0892541721765,402.497997162244,8.9462303,13.3,48.637
"13","AL","Baldwin County, AL",1003,2010,105414,NA,88.4967841083727,4.43204887396361,51.0207372834728,425.939628512342,9.8957523,13.3,47.618
"14","AL","Baldwin County, AL",1003,2011,108057,NA,88.3126498051954,4.4809683778006,51.1350490944594,430.328437768955,8.9542415,13.4,50.144
"15","AL","Baldwin County, AL",1003,2012,109714,NA,88.0753595712489,4.56732960242084,51.3352899356509,411.068778824945,7.7319039,13.9,48.867
"16","AL","Baldwin County, AL",1003,2013,111966,NA,87.9356233142204,4.57370987621242,51.2968222496115,398.335208902703,6.7366148,14.2,47.539
"17","AL","Baldwin County, AL",1003,2014,114123,NA,87.7710890880892,4.58277472551545,51.3910429974676,443.381264074726,6.101957340605,13,49.626
"18","AL","Baldwin County, AL",1003,2015,115587,NA,87.707095088548,4.52559543893344,51.400243972073,436.90034346423,5.5707314,12.9,52.387
"19","AL","Baldwin County, AL",1003,2016,117732,NA,87.7739272245439,4.30808955933816,51.5204022695614,391.567288417762,5.3532046,11.7,56.46
"20","AL","Baldwin County, AL",1003,2017,119339,NA,87.7617543301016,4.41934321554563,51.5338657102875,404.729384358843,4.1502061,10.1,56.607
