"state","expanded","population_20_64","crude_rate_20_64","poverty_rate","unemp_rate","median_income"
"AL",0,2871384,504.22,19.15,6.81,44.52
"AR",1,1716376,490.45,18.79,5.96,42.91
"AZ",1,3856831,342.95,18.15,6.83,50.27
"CA",1,23588009,263.9,16.36,7.61,63.52
"CO",1,3271493,286.78,12.12,5.03,63.09
"CT",1,2159058,279.43,10.78,6.62,70.73
"FL",0,11581688,369.25,16.73,6.47,47.47
"GA",0,6066224,380.19,18.44,7.21,51.18
"HI",1,850685,301.29,11.41,4.23,69.27
"IA",1,1796082,321.53,12.36,4.26,55.27
"ID",0,913148,316.71,14.81,4.42,49.27
"IL",1,7753583,323.05,14.41,7.19,59.31
"KS",0,1631049,350.14,13.66,4.62,55.05
"KY",1,2632885,492.24,19.05,6.65,45.03
"MD",1,3645721,333.13,10.48,5.79,75.64
"MI",1,5882013,394.15,16.2,7.32,51.05
"MN",1,3214947,260.1,11.44,4.28,63.46
"MO",0,3576580,419,15.54,6.22,49.65
"MS",0,1749047,543.04,22,7.75,40.71
"NC",0,5920916,380.26,17.13,6.19,48.5
"ND",1,401280,299.79,11.15,2.76,59.07
"NE",0,1042231,315.48,12.37,3.29,54.39
"NH",1,810358,327.02,9.18,4.3,67.08
"NJ",1,5390639,290.69,11.14,6.76,72.65
"NM",1,1208761,435.57,20.5,6.63,45.34
"NV",1,1704470,370.26,15.4,8.17,51.88
"OH",1,6847659,413.81,15.81,5.84,50.31
"OK",0,2255438,487.71,16.57,4.4,47.98
"OR",1,2378618,336.75,16.39,6.7,52.63
"RI",1,640542,317.86,14.83,7.79,54.92
"SC",0,2856598,452.25,17.85,6.33,46.24
"SD",0,444394,351.49,13.7,3.29,52.59
"TN",0,3903797,479.28,18.3,6.68,46.48
"TX",0,15936556,333.06,17.07,5.23,54.7
"UT",0,1646433,263.36,11.78,3.63,61.31
"WA",1,4292103,297.5,13.11,5.99,63.21
"WI",0,3420520,315.45,13.22,5.38,54.39
"WV",1,1095839,543.51,18.39,6.65,41.97
"WY",0,347903,371.94,11.31,4.35,59.33
